titre,entreprise,localite,categorie,date_publication,date_expiration,description,email,lien
Responsable Développement Formation Continue,N/A,Dakar,"Éducation, Enseignement | Enseignement, Formation",2026-04-23,2026-05-08,"Missions•	Élaborer et piloter le plan d’action commercial ;•	Définir les cibles et planifier les actions de prospection ;•	Promouvoir l’offre du centre, développer sa notoriété et son image ;•	Développer et entretenir des relations avec les entreprises, les financeurs et les prescripteurs ;•	Prospecter les entreprises du secteur de l’industrie agroalimentaire sur l’ensemble du territoire ;•	Identifier les besoins des entreprises et proposer des solutions de formation adaptées ;•	Élaborer les propositions commerciales et négocier les contrats ;•	Assurer la commercialisation des actions de formation ;•	Accompagner les entreprises dans la définition de leurs plans de formation et des dispositifs de financement ;•	Assurer une veille marché (besoins, concurrence, réglementation) et remonter les informations à la direction.",N/A,https://senjob.com/sn/jobseekers/responsable-développement-formation-continue_e_161527.html
Acheteur Sénior,N/A,Dakar,"Achat, Supply Chain, Logistique, Transport | Distribution, Commerce, Import-Export",2026-04-23,2026-05-08,"La Société de Cultures Légumières (SCL), située à 2 km du barrage de Diama, au nord du Sénégal dans la région de Saint-Louis, exploite 1.500 hectares répartis sur 3 sites. Elle emploie 1.250 travailleurs sous contrat et entre 2000 et 6.000 travailleurs journaliers selon les périodes de l’année.Son modèle économique est basé sur la production, le conditionnement et l’exportation des légumes frais, majoritairement du maïs doux et du haricot vert.Pour le renforcement de ces capacités dans le domaine des achats, la SCL recrute un Acheteur Sénior (H/F) expérimenté pour mieux répondre aux exigences de l’entreprise. Ce poste à fort potentiel évolutif, couvre le portefeuille stratégique des intrants agricoles et le conditionnement.Missions stratégiques et opérationnelles :Gestion du portefeuille stratégique :•	Piloter un panel de fournisseurs critiques pour la production (matières premières agricoles, emballages techniques, outillages spécifiques) ;•	Élaborer et mettre en œuvre les stratégies d’achats par catégorie.Analyse de marché et sourcing :•	Réaliser une veille permanente sur la volatilité des cours des matières premières agricoles et les innovations packaging ;•	Identifier et qualifier de nouvelles sources d’approvisionnement.Négociation et contractualisation de haut niveau :•	Piloter les appels d’offre complexes et les RFQ ;•	Négocier des contrats cadres intégrant des clauses de performances (qualité, délai, flexibilité indexation prix) ;•	Mettre en place des outils de couverture de risques prix/volume) pour sécuriser les marges de l’entreprise.Pilotage de performance et gestion du cycle de vie fournisseur :•	Développer et suivre les KPI achats, être le garant du processus Procure-to-Pay et la résolution des litiges complexes (techniques ou financier) en interface avec la comptabilité et les magasins ;•	Proposer des axes d’amélioration continue pour réduire les coûts cachés et optimiser les stocks.Dimension évolutive et management de transition :•	Rapport stratégique: être le bras droit du Directeur des Achats dans la préparation des grosses commandes, revues budgétaires et des rapports Direction Générale ;•	Participer activement à l’optimisation de l’ERP et la digitalisation de la fonction achat.Profil recherché/Compétences requises :•	Être titulaire d’une Licence 3 ou plus de Gestion et commerce avec spécialisation Achat / Supply Chain, avec une expérience de 02 ans au minimum au poste d’acheteur confirmé.•	Être motivé, rigoureux, fort en négociation et aime les défis, avoir le sens de l’éthique, de la communication et du relationnel.",N/A,https://senjob.com/sn/jobseekers/acheteur-sénior_e_161526.html
Chargé Lots Techniques Junior,N/A,Dakar,"Maintenance, Entretien, Contrôle | Industrie Automobile, Mecanique, Navale",2026-04-23,2026-05-08,"Rattaché à l’Ingénieur Senior Lots Techniques, vous intervenez sur l’ensemble des lots techniques du bâtiment, couvrant à la fois les installations électriques (CFO/CFA) et les réseaux fluides (CVC, plomberie, désenfumage). Vous assurez la modélisation BIM sous Revit MEP et la production des plans lots techniques, en garantissant la cohérence inter-lots et la qualité des livrables à chaque phase du projet.Profil recherché•	Bac +2 / Bac +3 en Génie Électrique, Génie Climatique, Énergétique du Bâtiment ou équivalent (DUT Génie Civil option Énergie, BTS Électrotechnique / Fluides)•	Débutant accepté avec maîtrise de Revit MEP. Expérience BIM (stage ou projet académique) couvrant l’un ou les deux lots techniques fortement valorisée.Compétences•	Maîtrise de Revit MEP (impératif) et d’AutoCAD ;•	Bonne compréhension du processus BIM et de la coordination multi-lots ;•	Connaissances de base en électricité bâtiment (CFO/CFA) : chemins de câbles, tableaux, luminaires ;•	Notions solides en CVC et plomberie : réseaux fluides, gainage, tuyauterie, désenfumage ;•	Notions des normes applicables : NF C 15-100 (électricité), NF/ASHRAE (fluides) ;•	Capacité à exploiter les maquettes BIM (quantitatifs, réservations, extractions, clash detection) ;•	Rigueur, sens du détail et organisation dans la gestion simultanée de plusieurs lots ;•	Esprit d’équipe, communication fluide et capacité d’apprentissage rapide.",N/A,https://senjob.com/sn/jobseekers/chargé-lots-techniques-junior_e_161525.html
Gardien,N/A,Dakar,"Qualité, Sécurité, Environnement | Sécurité, Surveillance, Défense, Armée",2026-04-23,2026-05-08,"Nous sommes à la recherche d’un gardien avec un bon niveau d’expression en français.Compétence et aptitude : Ponctuel, respectueux , discipliné.Être disponible à travailler de 16h-00h.",N/A,https://senjob.com/sn/jobseekers/gardien_e_161524.html
Superviseur de Salle,N/A,Dakar,"Maintenance, Entretien, Contrôle | Organisation non gouvernementale, Association",2026-04-23,2026-05-12,"Nous sommes à la recherche d’un superviseur de salle avec un bon niveau d’expression en français. instruit et assiduCompétence et aptitude : Ponctuel, respectueux, discipliné.Être apte et disponible à travailler de 08h-16h/ 16h-00h/ 00h-08h",N/A,https://senjob.com/sn/jobseekers/superviseur-de-salle_e_161523.html
Comptable Sénior,N/A,Dakar,"Comptabilité, Finances, Gestion | Banque, Assurance, Finances",2026-04-23,2026-05-08,"Nous recrutons un Comptable Senior pour un de nos clients évoluant dans le secteur de l’immobilier.Missions principales:•	Gestion de la comptabilité générale (enregistrement des pièces reçues, tenues des journaux, analyses périodiques des comptes)•	Revue des états de rapprochement bancaires mensuels•	Elaboration des reportings et des états financiers•	Revue des déclarations fiscales et sociales•	Suivi du paiement des impôts et taxes•	Suivi des paiementsProfil:•	Bac + 5 en comptabilité ou gestion•	Expérience d’au moins 2 ans dans un poste similaire•	L’expérience en cabinet est un plus•	Savoir travailler sous pression•	Être à l’aise avec Sage Saari/SAP•	Etre à l’aise avec Microsoft office particulièrement Excel",N/A,https://senjob.com/sn/jobseekers/comptable-sénior_e_161522.html
Assistant(e) Contrôle RH,N/A,Dakar,"Ressources Humaines, Formation | Banque, Assurance, Finances",2026-04-23,2026-05-08,"Missions et Responsabilités•	Participer à l’élaboration du budget des frais de personnel•	Suivre et analyser les écarts entre le budget et le réalisé•	Proposer des actions correctives et des optimisations de couts RH•	Collecter, consolider et fiabiliser les données sociales•	Concevoir et produire des tableaux de bord RH réguliers•	S’assurer de la qualité et de la cohérence des données RH•	Mettre en place des processus d’automatisation pour la collecte et l’analyse des donnéesProfil•	Bac + 3/4 Contrôle de Gestion, RH est tout autres équivalents.•	1 à 2 ans d’expérience professionnelle minimum•	Maitrise du système MIAGE",N/A,https://senjob.com/sn/jobseekers/assistant-e--contrôle-rh_e_161521.html
Directeur Système d’Information,N/A,Dakar,"Informatique, Télécoms, Réseaux | Industrie Informatique, Télécoms, Téléservices",2026-04-23,2026-05-08,"Rattaché au Directeur Général, le Directeur Système d’Information assure la gouvernance, la supervision et l’évolution du Système d’Information, en garantissant sa disponibilité, sa sécurité et son adéquation aux besoins métiers, tout en optimisant les coûts et en accompagnant la transformation digitale de la banque.Activités Principales :Stratégie et gouvernance du SI•	Définir et mettre en œuvre la stratégie SI en cohérence avec les orientations du groupe et les objectifs de la filiale.•	Piloter la performance et la conformité du SI (réglementaire, sécurité, continuité d’activité).•	Élaborer et suivre le budget SI, en optimisant les coûts d’infogérance et les investissements.Management de l’infogérance et des prestataires•	Superviser les relations avec le Centre de Support Filiale (CSF) et les autres prestataires techniques.•	Assurer le respect des SLA (niveaux de service) et la qualité des services délivrés.•	Être l’interface principale entre les équipes internes, les utilisateurs et les prestataires externes.Gestion de projets et transformation digitale•	Piloter les projets SI (fonctionnels et techniques) depuis l’expression du besoin jusqu’à la mise en production.•	Accompagner les métiers dans l’évolution des outils et processus, notamment dans le cadre de la digitalisation.•	Assurer la maintenance et la mise à jour de la documentation technique et fonctionnelle.Support utilisateur et micro-informatique•	Superviser la gestion du parc micro-informatique (administration, maintenance, renouvellement).•	Garantir un support de qualité aux utilisateurs en collaboration avec le CSF.•	Promouvoir l’adoption des outils et bonnes pratiques en matière de système d’information.Sécurité, continuité et diffusion de l’information•	Veiller à la sécurité des données et des systèmes, en conformité avec les normes bancaires et celles du groupe.•	Assurer la continuité d’activité et la résilience du SI (PCA/PRA).•	Faciliter la circulation et la qualité de l’information au sein de l’organisation.Management transversal et reporting•	Animer et coordonner les équipes internes dédiées au SI.•	Rendre compte régulièrement à la Direction Générale sur l’état du SI, les projets en cours et les indicateurs clés.•	Réaliser toutes autres missions confiées par la hiérarchie dans le cadre des objectifs du département.Mise en place des instruments organisationnels :•	Rédaction et diffusion des manuels•	Formation du personnel•	Gestion des fiches de fonctionReprises d’éventuels instruments existants :•	Collecte des notes d’instructions existantes•	Analyse de cette documentation pour élimination des sources contradictoires ou redondantes•	Classement en fonction de la nomenclature des manuels•	Réactualisation et rappel des instructionsGestion du Système d’Information :•	Gestion et suivi des habilitations•	Gestion des tables de codifications et de références•	Gestion des incidents•	Optimisation des processus•	Gestion des évolutions•	Gestion de la sécurité•	Gestion de l’éditiqueToute autre tâche confiée par sa hiérarchie dans le cadre des missions.Profil :•	Diplôme d’ingénieur, master en informatique, télécoms ou gestion des systèmes d’information.•	Expérience significative en management du SI dans le secteur bancaire ou financier.•	Connaissance des environnements réglementaires bancaires et des normes de sécurité (ISO, COBIT, etc.).•	Compétences en gestion de projet, négociation avec les prestataires et pilotage budgétaire.•	Leadership, excellent relationnel et capacité à fédérer des équipes internes et externes.•	Savoir faire face aux situations d’urgence.•	Capable de travailler sous pression.•	Rigueur et sens des responsabilités.•	Pragmatisme, orientations solutions.•	Forte autonomie et esprit d’initiative.",N/A,https://senjob.com/sn/jobseekers/directeur-système-d’information_e_161520.html
Développeur IT,N/A,Dakar,"Informatique, Télécoms, Réseaux | Industrie Informatique, Télécoms, Téléservices",2026-04-23,2026-05-08,"Activités Principales :•	Définir une structure optimale des données et développer des programmes d’extraction ;•	Identifier les besoins en termes d’architecture, de données ainsi que l’adéquation avec l’environnement actuel pour le développement des solutions analytiques ;•	Contrôler et surveiller l’état de l’infrastructure ainsi que la sauvegarde et la sécurisation des données ;•	En collaboration avec le Directeur SI, définir et faire évoluer les solutions de stockage des données ;•	Mettre son expertise au profit des métiers pour déployer et soutenir les modèles analytiques et faciliter l’exploitation des données.•	Toute autre tâche confiée par sa hiérarchie dans le cadre des missions.Profil :•	Profil BAC+5 en Informatique avec une très bonne pratique des bases de données et l’application Amplitude, du développement SQL et des autres langages développements : PHP/MYSQL, PYTHON, Java/JavaScript, outil BI, etc.•	Une expérience significative en milieu bancaire.•	Savoir gérer la confidentialité des informations et des données.•	Savoir organiser et planifier ses activités•	Savoir faire face aux situations d’urgence•	Capable de travailler sous pression•	Rigueur et sens des responsabilités•	Pragmatisme, orientations solutions•	Forte autonomie et esprit d’initiative•	Sens du collectif et du travail en équipe",N/A,https://senjob.com/sn/jobseekers/développeur-it_e_161519.html
Responsable de production / Conducteur de Travaux,N/A,Dakar,"Métiers BTP, Bureau d'étude, Immobilier | BTP, Construction, Immobilier, Urbanisme, Archi.",2026-04-23,2026-05-08,"MissionsLe responsable de production organise, planifie, suit la production d’un atelier de confection lourde ainsi que la supervision des chantiers (conduite de travaux).•	Assurer la production•	Planifier la production en collaboration avec la direction générale•	Superviser les services connexes à la production (magasins, services généraux…)•	Réagir aux commandes imprévues et aux aléas techniques en concertation avec le service commercial•	Coordonner les exigences de production et les nécessités de maintenance (outils de production et services généraux)•	Assurer les communications avec les différents services : commercial, comptable et RH•	Suivre les productions journalières par rapport aux prévisions et les réajuster•	Responsable de la maintenance : outils industriels, services généraux, propreté du site et environnement•	Animer le personnel de l’atelier•	Gérer le personnel de production et s’assurer du recrutement nécessaire à la flexibilité ou aux périodes de suractivité•	Gérer le personnel des services annexes : magasiniers, chauffeurs et leurs véhicules•	Améliorer les process de production•	Analyser les défaillances, les dysfonctionnements, proposer des améliorations•	Rechercher et proposer des solutions pour améliorer sans cesse la productivité, la réactivité et la qualité de la production : améliorer les implantations d’ateliers et optimiser les flux.•	Prévoir les investissements nécessaires en collaboration avec la DirectionRésultats attendus•	Efficacité, productivité et qualité de la production, son coût en fonctionnement•	Rendre compte à la Direction Générale•	Assurer un bon climat social•	Autonomie et responsabilitéLe poste dépend de la direction générale. Il encadre les responsables d’ateliers, les chefs d’équipes, les magasiniers, les chauffeurs et le personnel de la production, il est autonome quant aux moyens et à l’organisation des ateliers pour assurer le bon fonctionnement.Environnement de travail•	Il travaille entre son bureau, les ateliers et la Direction. Il se déplace à l’extérieur : chantier et suivi des équipes.•	Les horaires sont soumis aux aléas de la production.Compétences spécifiques•	Optimiser la production : implantation des ateliers, flux, organisation du travail•	Recruter et participer au recrutement de collaborateurs•	Evaluer les compétences et promouvoir ses collaborateurs•	Résoudre des problèmes de natures différentes dans l’urgence•	Connaissance de la confection textile est un plusCompétences transversales•	Etre à l’écoute et disponible•	Savoir être réactif devant les aléas•	Etre à la fois ferme et diplomate, savoir gérer des conflits•	Travailler en équipe•	Analyser et synthétiser de nombreuses informations chiffrées•	Gérer des priorités•	Organiser et planifier les activités•	Maîtriser les outils informatiquesProfil :•	De formation technique supérieure (minimum bac +2) vous justifiez d’une expérience réussie dans le milieu de la production et/ou la conduite de travaux dans le BTP.•	Titulaire d’un permis de conduire•	Français et Wolof impératifs, la maitrise de l’anglais est un plus.",N/A,https://senjob.com/sn/jobseekers/responsable-de-production---conducteur-de-travaux_e_161518.html
Responsable des services hôteliers pour la famille olympique,N/A,Dakar,"Métiers Hôtellerie, Tourisme, Restauration, Loisirs | Tourisme, Hôtellerie, Loisirs, Restauration",2026-04-23,2026-05-08,"Missions et responsabilitésLe/La Olympic Family Hotel Services Manager/Responsable des services hôteliers pour la famille olympique (H/F) pilote l’ensemble des services dédiés à la Famille Olympique au sein de l’Olympic Family Hotel (OFH & OF2), en garantissant une expérience irréprochable, fluide et conforme aux standards du Comité International Olympique (CIO).Véritable chef d’orchestre sur site, le/la Olympic Family Hotel Services Manager est responsable de la qualité d’exécution opérationnelle, de la coordination interservices et de la satisfaction des clients les plus stratégiques des Jeux.Il/Elle est en charge des activités suivantes?:Pilotage de l’expérience client•	Garantir un niveau d’excellence sur l’ensemble du parcours client (arrivée, séjour, départ);•	Assurer la qualité des services hôteliers : réception, conciergerie, housekeeping,restauration, espaces meetings;•	Mettre en œuvre et contrôler les standards spécifiques à la Famille Olympique Coordination opérationnelle.Coordination opérationnelle•	Superviser les équipes OFS sur site;•	Assurer la coordination quotidienne avec les départements Dakar 2026 présents à l’OFH (Transport, Protocole, Sécurité, Accréditations, etc.);•	Être le point de contact principal entre l’hôtel, les équipes OFS et le CIO.Management & leadership•	Encadrer, mobiliser et faire monter en performance les équipes opérationnelles;•	Instaurer une culture de service premium et de réactivité;•	Gérer les priorités dans un environnement à forte pression.Gestion des situations sensibles•	Anticiper, gérer et résoudre les incidents clients avec diplomatie et efficacité;•	Assurer un suivi personnalisé des demandes VIP et sensibles;•	Garantir la confidentialité et la gestion des enjeux protocolairesAmélioration continue & reporting•	Suivre les indicateurs de qualité et de satisfaction;•	Identifier les axes d’amélioration et mettre en place des actions correctives rapides;•	Produire des reportings réguliers à destination du CIO et de Dakar 2026.Qualifications et compétences requises pour le posteFormation et Expérience professionnelle•	Bac+4/5 en management hôtelier international ou équivalent;•	Minimum 5 ans d’expérience en hôtellerie haut de gamme, événementiel international ougrands événements sportifs;•	Expérience confirmée sur des environnements VIP, protocole ou clients sensibles;•	Expérience en ouverture d’hôtel ou grands événements fortement appréciée.Compétences techniques•	Excellente maîtrise des standards hôteliers haut de gamme / luxe;•	Excellentes compétences relationnelles et sens politique.Savoir être•	Leadership confirmé et management d’équipes multiculturelles;•	Gestion du stress et prise de décision rapide;•	Sens aigu du détail et de l’expérience client;•	Capacité à évoluer dans un environnement international exigeant.Langues•	Bilingue français / anglais (indispensable);•	Une troisième langue est un atout.",N/A,https://senjob.com/sn/jobseekers/responsable-des-services-hôteliers-pour-la-famille-olympique_e_161517.html
Responsable des services aux invités,N/A,Dakar,"Métiers Hôtellerie, Tourisme, Restauration, Loisirs | Tourisme, Hôtellerie, Loisirs, Restauration",2026-04-23,2026-05-08,"Missions et responsabilitésLe/La Guest Services Manager/Responsable des services aux invités a pour mission de coordonner et produire des initiatives, événements et expériences impliquant la FamilleOlympique et les invités du COJOJ en dehors des sites de compétition, pendant les Jeux.Il/Elle garantit la cohérence, la qualité et l’impact des interactions entre la Famille Olympique et Dakar 2026, en orchestrant à la fois les invitations reçues et lesinitiatives portées par le Comité d’Organisation.Il/Elle est en charge des activités suivantes?:Coordination des invitations & engagements•	Centraliser et coordonner l’ensemble des invitations adressées à la Famille Olympique (cérémonies, événements partenaires, initiatives institutionnelles, activations);•	Assurer la cohérence globale des sollicitations;•	Suivre les confirmations, niveaux de représentation et présences effectives.Production d’expériences Dakar 2026•	Concevoir et piloter des initiatives à l’initiative de Dakar 2026 dédiées à la Famille Olympique et aux invités du COJOJ (visites, événements culturels, moments institutionnels, expériences exclusives);•	Superviser leur mise en œuvre opérationnelle, en lien avec les fonctions concernées;•	Garantir une expérience fluide, qualitative et alignée avec l’image et les ambitions des Jeux.Orchestration en Games Time•	Superviser la préparation et l’exécution de toutes les initiatives impliquant la Famille Olympique;•	Garantir la fluidité des parcours invités en coordination avec OFS et Protocole;•	Assurer une présence terrain sur les moments clés.Coordination transverse & parties prenantes•	Être le point de référence pour toutes les fonctions souhaitant engager la Famille Olympique;•	Travailler étroitement avec Protocole pour garantir le respect des règles de préséance et des sensibilités diplomatiques;•	Coordonner avec Marketing, Partenariats et Communication pour les initiatives impliquant des invités VIP.Gestion des risques & excellence opérationnelle•	Identifier les risques protocolaires, logistiques ou d’image;•	Garantir une exécution sans incident sur des événements à forte visibilité;•	Assurer un suivi personnalisé des invités clés.Suivi & reporting•	Mettre en place des outils de suivi des invitations, participations et expériences;•	Produire des reportings à destination de la Head of OFS et du CIO;•	Capitaliser sur les retours pour améliorer en continu les dispositifs.Qualifications et compétences requises pour le posteFormation et Expérience professionnelle•	Bac+4/5 en management hôtelier international ou équivalent;•	5 ans d’expérience en événementiel international, grands événements sportifs, protocole ou production d’expériences VIP;•	Expérience confirmée dans la gestion de dignitaires, VIP ou environnements sensibles;•	Expérience en production d’événements fortement appréciée.Compétences techniques•	Expertise en coordination d’événements complexes et multi-sites;•	Capacité à concevoir et produire des expériences premium;•	Capacité à piloter des projets complexes avec de nombreux interlocuteurs;•	Expertise en coordination d’événements complexes et multi-sites;•	Capacité à piloter des projets complexes avec de nombreux interlocuteurs;•	Excellente compréhension des enjeux protocolaires et institutionnels.Savoir être•	Forte capacité d’arbitrage et de priorisation;•	Diplomatie et intelligence relationnelle;•	Grande réactivité et capacité à travailler sous pression;•	Sens aigu du détail et de l’expérience VIP.Langues•	Bilingue français / anglais (indispensable);•	Une troisième langue est un atout.Contraintes du poste•	Contrat CDD à temps plein ;•	Flexibilité à travailler au-delà des horaires de travail conventionnels le cas échéant;•	Poste basé à Dakar avec déplacements fréquents sur les sites.",N/A,https://senjob.com/sn/jobseekers/responsable-des-services-aux-invités_e_161516.html
Developpeur Fullstack,N/A,Dakar,"Informatique, Télécoms, Réseaux | Industrie Informatique, Télécoms, Téléservices",2026-04-23,2026-05-08,"Dans le cadre de la transformation digitale, nous recherchons un développeur full stack junior (Java /JavaScript) pour renforcer les équipes de développements.Activités principales•	Participer à l’analyse la conception et au développement des applications en JAVA/Spring Boot/Angular/NodeJs et applications mobiles.•	Intégration de services dans SONIS (Outil d’inventory Network)•	Collaborer en équipe pour le développement d’applications et la mise en place d’interfaces.•	Développer des applications en architectures distribuées, en respectant à la fois les fonctionnalités et contraintes contenues dans la spécification fournie.•	Expérience dans les technologies de développement Cross-platform (Ionic, React Native, Flutter etc.)•	Rédaction des tests unitaires et des tests d’intégration.•	Participation à la mise en production des applications.•	Apporter son soutien aux analyses d’incidents de niveau 3•	Assurer la maintenance et la documentation.•	Assurer le support des équipes OpérationnelsCompétences requises•	Maitrise du langage JAVA 8+ et de ses frameworks principaux (Spring..), NodeJs et ses frameworks Niveau 4•	Maitrise des APIs restful Niveau 4•	Bonne maîtrise de la chaine d’intégration continue, des outils DevOps (jenkins, Bitbucket…) et des plans de tests (unitaires, non-régressions, d’intégration) Niveau 3•	Bonne connaissance des principes d’architecture réactive. Niveau 3•	Maitrise des architectures orientées microservices et des outils de stockage (SQL et NoSQL) Niveau 3•	Bonne maitrise d’une de ses framework/librairies (Angular, React JS, Ionic, React Native) Niveau 3•	Bonne maitrise des langages : HTML, CSS Niveau 4•	Maitrise des bonnes pratiques en développement frontend et de leur optimisation Niveau 3•	Bonne maitrise des outils de PAO et des spécificités des principaux navigateurs web et mobile. Niveau 2•	Proactive sur les choix technologiques. Niveau 3•	 Une connaissance du développement dans un environnement Agile et les rituels Scrum Niveau 3•	Connaissance du Test Driven Development  Niveau 3•	Une connaissance de docker, de kubernetes et de Openshift Niveau 3•	Bon mindset et team spirit•	Rigoureux, engagé et passioné.•	Créatif.",N/A,https://senjob.com/sn/jobseekers/developpeur-fullstack_e_161515.html
Data Programme Specialist,N/A,Dakar,"Administration, Services généraux | Organisation non gouvernementale, Association",2026-04-23,2026-05-08,"The primary purpose of the Data Programme Specialist (P4) position is to coordinate the technical implementation of regional statistical harmonization and improvement projects across West and Central Africa. This role involves producing high-quality population data by developing harmonized methodological guides and providing specialized technical assistance to National Statistical Offices for censuses and CRVS systems. Additionally, the Specialist promotes data utilization to inform evidence-based policy dialogue and ensures rigorous monitoring and evaluation to maintain project quality, track key performance indicators, and comply with donor requirements.You would be responsible for:Role DescriptionIn all activities s/he fosters collaboration within the West and Central Africa Regional Office, and with HQ and Country Offices, ensuring the timeliness, adequacy, relevance and quality of substantive outputs. The primary roles of the incumbent are:•	Technical support•	Capacity development•	Evidence and knowledge development and dissemination•	Technical representationKey responsibilities1. Technical Coordination & Harmonization•	Methodological Development: Lead the creation and adaptation of practical guides for census management, digital cartography, data cleaning, and geospatial population modeling.•	Standardization: Align regional statistical production with the Strategy for the Harmonization of Statistics in Africa (SHaSA) to ensure data comparability across the CEMAC and ECOWAS zones.•	Innovation: Oversee the integration of new technologies (GIS, satellite imagery, and mobile data collection) into traditional census and CRVS frameworks.2. Capacity Strengthening & Country Support•	Support census, CRVS and surveys activities, including field enumeration, post-enumeration surveys, and annual vital statistics generation, collaborating with technical consultants and Chief Technical Advisors.•	Organize technical meetings and learning events, including eLearning sessions and in-person seminars, on census and survey design, implementation, and data use for development planning.•	Coordinate GIS capacity strengthening for UNFPA census and survey initiatives in conjunction with HQ and Country Offices.•	Maintain the global database of consultants for technical assistance to National Statistical Offices and provide editorial support for census and survey publications.3. Data Utilization & Policy Advocacy•	Evidence Generation: Support the Regional Initiative on the Centrality of Population (RICoP) by analyzing the interconnections between population dynamics, megatrends, and Sustainable Development Goals (SDGs).•	Stakeholder Engagement: Organize high-level policy dialogues and webinars to foster evidence-based planning and resource allocation among decision-makers.•	Digital Dissemination: Oversee the development and regular updating of national Population Data Portals and the UNFPA Census Tracker to ensure access to key demographic indicators, while also producing policy briefs and monographs.•	Research Monitoring: Stay updated on advancements in census, survey, and geospatial research, providing insights on their relevance to UNFPA programming and identifying statistical gaps.•	Support Initiatives: Monitor Strategic Plan indicators and actively contribute to ICPD-related initiatives, events, and knowledge products.4. Project Management & Reporting•	Monitor Project Performance: Act as the primary focal point for project monitoring and evaluation, ensuring tracking of performance indicators and adherence to funding limits.•	Enhance Data Systems: Collaborate with key stakeholders to improve data systems and provide technical assistance to governments.•	Support Resource Mobilization: Assist WCARO leadership in resource mobilization efforts and serve as a liaison for inter-agency groups focused on census, survey, and geospatial data.•	Facilitate Technical Collaboration: Liaise with UN agencies, academia, and research institutions to address technical issues related to census, surveys, and geospatial data.Qualifications and Experience:Education:  An Advanced Degree in quantitative social sciences, e.g. demography, statistics, populationstudies, economy, sociology, geography, data sciences or related field. PhD desirable.Knowledge and Experience:•	Minimum of 7 years of experience in data systems, including at least 4 years at the international level with increasing technical and managerial responsibilities.•	Experience in managing or coordinating global programs or initiatives with deliverables across multiple countries and regions.•	Technical expertise in utilizing census and survey data for developmental purposes; familiarity with GIS and geospatial analysis of population data is advantageous.•	Exceptional writing, editing, and oral communication skills in English, with additional expertise in related areas of population and development research being desirable.Advanced degree in health, population, demography and/or other related social science discipline.Languages:Fluency in English is required, while proficiency in French is desirable to facilitate effective communication with coordination groups and local organizations in both English-speaking and French-speaking countries within the West and Central Africa region.",N/A,https://senjob.com/sn/jobseekers/data-programme-specialist_e_161514.html
Caissiers(ères),N/A,Dakar,"Comptabilité, Finances, Gestion | Banque, Assurance, Finances",2026-04-23,2026-05-08,Un Restaurant situé à Ouakam cherche 2 Caissiers (ères).Les candidats (es) doivent être âgés(es) entre 25 à 45 ans,N/A,https://senjob.com/sn/jobseekers/caissiers-ères-_e_161512.html
Cuisiniers(es) Restaurant,N/A,Dakar,"Métiers Hôtellerie, Tourisme, Restauration, Loisirs | Tourisme, Hôtellerie, Loisirs, Restauration",2026-04-23,2026-05-08,Un Restaurant situé à Ouakam cherche des cuisiniers.Les candidats (es) doivent être âgés(es) entre 25 à 45 ans,N/A,https://senjob.com/sn/jobseekers/cuisiniers-es--restaurant_e_161511.html
Responsable QHSE en restauration,N/A,Dakar,"Métiers Hôtellerie, Tourisme, Restauration, Loisirs | Tourisme, Hôtellerie, Loisirs, Restauration",2026-04-23,2026-05-08,"Votre missionDans le cadre de notre développement en restauration collective, nous recrutons un(e) Responsable QHSE chargé(e) de garantir la mise en œuvre et le respect des normes Qualité, Hygiène, Sécurité et Environnement au sein de nos unités.Véritable pilier de notre organisation, vous contribuez à la performance opérationnelle et à la satisfaction de nos clients en assurant un haut niveau d’exigence sanitaire et réglementaire.Vos principales responsabilitésQualité & Hygiène•	Garantir l’application des normes HACCP et des bonnes pratiques d’hygiène•	Élaborer et piloter le Plan de Maîtrise Sanitaire (PMS)•	Organiser et superviser les audits internes et externes•	Assurer la traçabilité des denrées et le respect de la chaîne du froid•	Mettre en place des actions correctives et gérer les non-conformités•	Former les équipes aux règles d’hygiène et de sécurité alimentaire•	Suivre les analyses microbiologiquesSécurité•	Veiller au respect des règles de sécurité au travail•	Déployer des plans de prévention des risques•	Organiser les formations (EPI, gestes et postures…)•	Assurer le suivi des incidents et proposer des améliorationsEnvironnement•	Promouvoir les bonnes pratiques environnementales•	Sensibiliser à la réduction des déchets et du gaspillage•	Veiller au respect des réglementations environnementalesManagement & animation•	Développer une véritable culture QHSE auprès des équipes•	Former et accompagner les responsables de site•	Concevoir des supports pédagogiques et outils QHSE•	Représenter l’entreprise auprès des clients (commissions restauration)Votre profil•	Formation Bac+3 minimum en QHSE ou équivalent•	Expérience d’au moins 5 ans, idéalement en restauration collective•	Maîtrise des normes HACCP, ISO 22000, ISO 9001•	Expérience des audits et certifications•	Solides capacités d’analyse, d’organisation et de gestion des risquesVos atouts•	Leadership et capacité à fédérer•	Pédagogie et sens de la transmission•	Rigueur et réactivité•	Exemplarité et sens des responsabilitésConditions•	Poste basé à Dakar•	Déplacements possibles sur le territoire sénégalaisPourquoi nous rejoindre ?Rejoignez une entreprise en pleine croissance, engagée dans une restauration collective de qualité, valorisant les savoir-faire locaux et plaçant la sécurité et la satisfaction client au cœur de ses priorités.",N/A,https://senjob.com/sn/jobseekers/responsable-qhse-en-restauration_e_161510.html
