titre,entreprise,ville,contrat,date_publication,categorie,description,lien
Gouvernant(e) de Secteur (Profil Hôtellerie),CLEANIC,"Dakar, Sénégal",CDD,2026-04-21,N/A,"CLEANIC SARL recrute des Gouvernant(e)s de Secteur pour une mission de prestations de services dans un complexe résidentiel d’hébergement de grande capacité situé à Dakar.Le posteSous la responsabilité directe du Responsable de Site, vous encadrez une équipe d’agents sur une zone d’intervention définie. Vous êtes le premier niveau d’encadrement opérationnel et le garant(e) de la qualité de service sur votre secteur.Vos missionsOrganiser et superviser le travail quotidien de votre équipe, contrôler la bonne exécution des prestations, gérer les stocks et consommables de votre zone, assurer la communication entre les agents et la hiérarchie, et veiller au respect des procédures et des standards de qualité.Profil recherchéExpérience obligatoire en hôtellerie, résidence hôtelière ou hébergement collectif — gouvernant(e), assistant(e) gouvernant(e) ou chef(fe) de brigade. Vous êtes dynamique, entreprenant(e) et à l’aise avec la gestion de volume et les environnements à fort rythme. Sérieux(se), ponctuel(le), sens de l’organisation. La maîtrise du français est indispensable, l’anglais est un atout apprécié.ConditionsPoste basé à Dakar.CDD 6 mois.Rémunération selon profil.CandidatureCV à envoyer àrecrutement@cleanicsenegal.com– objet : « Gouvernant(e) de Secteur» avant le 15 mai 2026.",https://www.emploidakar.com/offre-demploi/cleanic-dakar-cdd-gouvernante-de-secteur-profil-hotellerie/
Conseiller(e) Commercial(e) Automobile,CFAO Mobility,"Dakar, Sénégal",CDI,2026-04-21,N/A,"ResponsabilitésLe/a vendeur/se automobile réalise sous contrôle direct de sa hiérarchie, l’ensemble des activités concourant d’une part à la commercialisation des véhicules, leur paiement et d’autre part aider à la reprise des véhicules d’occasion après expertise par le responsable SAV et/ou V.O. après validation de la Direction.Prospection, développement et fidélisation de la clientèle.Commercialisation des véhicules.Proposition de financement.Vente de produits et prestations périphériques simples.Estimation physique du véhicule d’occasion sous contrôle d’un responsable SAV/ détermination de sa valeur avec le Responsable V.O.Renseignement et mise à jour des fiches CRM.Gestion administrative des activités de commercialisation.Organisation des activités en fonction des objectifs quantitatifs et qualitatifs.Etablir des comptes rendus quotidiens d’activité commerciale.Mise en œuvre du plan d’actions commerciales de l’entreprise.Suivi des agents et réparateurs présents sur le secteur d’activité du titulaire.Suivi de la livraison et du paiement des véhicules.Suivi commercial d’un parc véhicules.Application des procédures qualité en vigueur dans l’entreprise.Gestion des informations reçus sur internet.Organisation et animation des lieux/points de relais.Participer aux expositions extérieures.En charge de la livraison des véhicules.Profil recherché :Bac+3/5 en Commerce/Marketing ou équivalent.Expérience de la vente automobile.Prospecter, relancer et suivre un client.Connaissance des produits vendus par CFAO et la concurrence.Capacité de réactivité et disponibilité.Dynamisme et rigueur dans la constitution des dossiers.Permis de conduire",https://www.emploidakar.com/offre-demploi/cfao-mobility-dakar-senegal-cdi-conseillere-commerciale-automobile/
Stagiaire Suivi-Évaluation,Winrock International,"Dakar, Sénégal",Stage,2026-04-21,N/A,"Nous recherchons un(e) stagiaire motivé(e) pour intégrer notre équipe de Suivi, Évaluation et Apprentissage (MEL). Le/la stagiaire participera activement à la mise en œuvre des activités de suivi et d’évaluation du programme. Ce poste impliquera principalement le suivi de la collecte des données auprès des entreprises bénéficiaires, des bénéficiaires individuels et des institutions partenaires en collaboration avec les BDSP.  Il ou elle contribuera à la vérification et  à la validation des données. Par ailleurs, le ou la candidat (e) jouera un rôle clé dans les analyses multidimensionnelles et/ou inférentielles, en vue de réaliser le profilage des entreprises bénéficiaires en lien avec la création d’emplois.Tâches et responsabilitésSuivi de la collecte de données des activités et indicateurs du programmeAppuyer la planification des enquêtes sur le terrain, à la préparation des équipes d’enquêteurs (déploiement) et à la supervision/coordination de de la collecte des données trimestrielles et annuelle du programme WEECAP.Appuyer au suivi rigoureux de la collecte des données de routine (enregistrement des entreprises bénéficiaires, des participants individuels et les évents) en collaboration avec les BDSP.Participer au contrôle qualité /vérification et validation (contrôles de cohérence, complétude) des données collectées en conformité avec les normes et standards de qualitéTraitement- Analyse & visualisation des donnéesParticiper au nettoyage et au codage des données, facilitant ainsi leur préparation pour l’analyse et la visualisation.Réaliser des analyses descriptives, multidimensionnelles et ou inférentielles ou tout autre selon les besoins du programme.Appuyer à la production de tableaux de bord (Excel/Power BI) et des visuels pour le suivi des indicateursParticiper à l’élaboration des rapports ou notes de synthèse d’analyse et d’interprétation pour faciliter les prises de décisionsCapitalisation &apprentissageAppuyer à la rédaction de rapports (trimestriels et annuel) et à la documentation des leçons apprises.Participer à la mise à jour des outils.Appuyer à l’organisation d’ateliers internes (formation des BDSP, les sessions de quarterly reflective , after activities review et pause and reflect).Participer aux réunions d’équipe et assurer des points d’avancement réguliers.Profil recherchéFormation : Ingénieur statisticien économiste, Master en Suivi et Evaluation des projets, Statistiques, Économétrie, data analyst ou tout autre domaines pertinentsStatut : étudiant en fin de formation ou diplômé cherchant un stage professionnelCompétences techniques requises :Connaissance en conception et de gestion de projet/programmesMaitrise des techniques de collecte de données quantitatives et qualitativesCapable de faire des analyses multidimensielles , inférentielle ou tout autreMaîtrise d’Excel (avancé : formules, tableaux croisés, graphiques ect ).Maitrise des outils /applications numériques de collecte et d’analyse de données : SPSS, Stata, KOBO/ODK, Power BI ectFort intérêt pour les chaînes de valeur agroalimentaire (désir de faire un mémoire ect)Compétences en rédaction de rapportLangues : Français (courant), et portugais pour la Guinée Bissao.",https://www.emploidakar.com/offre-demploi/winrock-international-dakar-senegal-stage-stagiaire-suivi-evaluation/
Responsable de la Chaîne d’Approvisionnement,Winrock International,"Dakar, Sénégal",CDD,2026-04-21,N/A,"Principales responsabilités :Planification stratégiqueEn collaboration avec le Directeur Régional de la Compétitivité et de la Chaîne d’Approvisionnement, développer un plan de travail avec des objectifs concrets et un calendrier pour rationaliser les stratégies d’approvisionnement des transformateurs de cajou.En collaboration avec les BDSP, développer des plans d’intervention périodiques et continus.Proposer un plan d’action pour promouvoir les normes de qualité de la noix brute au niveau des producteurs.Optimisation de la chaîne d’approvisionnementDévelopper des services critiques tels que l’agrégation, le séchage et le contrôle de qualité, créant de nouveaux emplois dans l’approvisionnement et les secteurs adjacents à l’agriculture, et relier les fournisseurs de noix brutes aux transformateurs.Soutenir les transformateurs pour optimiser l’ensemble des processus de la chaîne d’approvisionnement, y compris l’achat, la logistique et la gestion des stocks.Soutenir les transformateurs dans l’évaluation de la qualité des noix brutes et du chemin de ces noix depuis les fermes jusqu’aux usines.Développer des stratégies pour réduire les coûts et garantir la livraison rapide des noix brutes tout en maintenant des produits de haute qualité.Soutenir les transformateurs pour atteindre et dépasser les objectifs d’approvisionnement.Favoriser des stratégies d’approvisionnement fiables et inclusives qui construisent des relations à long terme avec les petits producteurs et coopératives, en particulier celles dirigées par des femmes et des jeunes.Aider les transformateurs à surveiller et analyser les indicateurs de performance de la chaîne d’approvisionnement, tels que la rotation des stocks, les délais de livraison et les délais de traitement, pour identifier les opportunités d’amélioration et mettre en œuvre des actions correctives.Identifier de nouvelles opportunités d’approvisionnement et soutenir le développement de nouveaux contrats entre les groupements de producteurs et les transformateurs pour la création d’emplois.Développer les liens entre les producteurs et les transformateurs de cajou. Faciliter les accords de rachat et l’agriculture sous contrat pour offrir de la prévisibilité aux deux parties.Assurance qualité et conformitéAider les producteurs et leurs organisations à obtenir des certifications pertinentes pour le marché.Veiller à ce que les producteurs et les transformateurs respectent les normes de sécurité alimentaire, les certifications et les exigences de traçabilité.Initier les processus de certification biologique, commerce équitable et Rainforest Alliance avec les transformateurs et les producteurs intéressés.Développer et mettre en œuvre des projets de durabilité tels que la traçabilité numérique, la géolocalisation et le suivi de la production avec les producteurs.Soutenir les transformateurs à accéder à des noix brutes de haute qualité et à utiliser ces matières premières comme garantie pour obtenir davantage de financements.Renforcement des capacitésDiriger les évaluations de capacités et élaborer des stratégies de renforcement pour les groupements de producteurs et les transformateurs.Soutenir les coopératives dirigées par des jeunes et des femmes à devenir des partenaires commerciaux crédibles pour les transformateurs.Co-développer des supports de formation pour les groupements de producteurs et les transformateurs.Identifier les prestataires de services de développement commercial pour offrir des formations de haute qualité et pertinentes pour le marché.Soutenir les BDSP dans la mise en place de modèles de financement basés sur les stocks de noix brutes ou d’amandes.Intégration de la chaîne d’approvisionnementEncourager l’approvisionnement direct auprès des agriculteurs pour réduire la dépendance aux intermédiaires.Soutenir les transformateurs à améliorer les systèmes de séchage Borma pour renforcer la qualité des amandes avant l’exportation.Aider les groupements de producteurs à créer ou améliorer des accords avec les transformateurs pour optimiser la chaîne d’approvisionnement.Soutenir les BDSP à fournir des services d’accès au financement, tels que le financement des entrepôts pour les groupements de producteurs et les transformateurs.Qualifications :Licence en Administration des Affaires, Agroalimentaire, Économie ou domaine connexe. Master préféré.Expérience souhaitée :Au moins 7 ans d’expérience en gestion de la chaîne d’approvisionnement.Fortes compétences en leadership et esprit d’innovation.Connaissance des certifications, des systèmes de traçabilité et des réglementations en matière de sécurité alimentaire.Expérience dans un projet lié à la noix de cajou, un atout.Volonté de voyager dans les pays de l’UEMOA.",https://www.emploidakar.com/offre-demploi/winrock-international-dakar-senegal-cdd-responsable-de-la-chaine-dapprovisionnement/
Technical Lead (Backend),Djamo,"Dakar, Sénégal",CDI,2026-04-21,N/A,"As our new Tech Lead reporting to our Head of Engineering, you will oversee a team of engineers, making architectural and design decisions, guiding team members in technical matters, and supervising system modifications.As a Leader, you will mentor team members, delegate tasks, give and receive feedback, evaluate risks, and resolve conflicts.As a Developer, you will play a key role in designing, developing, and scaling backend systems that power critical financial services for users across Francophone Africa. You’ll be expected to bring deep technical expertise, take ownership of complex system design challenges, and continuously raise the bar on code quality and system performance.You will work closely with cross-functional teams, including product, design, and frontend engineering, to build performant, secure, and reliable services. You’ll also take the lead in optimizing legacy systems, implementing best practices, and driving the adoption of new technologies that align with Djamo’s ambitious growth goals.Your RoleReporting to the Head of Engineering, Your Key Responsibilities will include:Lead a cross-functional team (70% of your time)Own the delivery and technical direction of a product squad (engineers, designer, PM).Run the team: weekly 1:1s, regular feedback, career growth conversations, sprint coordination.Break down projects into well-scoped work, manage dependencies, and keep the team shipping.Partner closely with Product and Design to shape what gets built, not just how.Raise the engineering bar across the org (20%)Architect, build, and maintain efficient, reusable, and reliable backend systems and services.Be a technical sounding board for other tech leads and engineers.Help first-time managers develop their leadership skills ; give them patterns, not just advice.Drive improvements to engineering practices: code review quality, testing strategy, CI/CD, design docs.Contribute to architectural decisions that affect multiple teams.Own the delivery and quality of backend features from concept to production.Stay technical (30% overlap with above)Write code. Review code. You’re in the codebase, not above it.Lead by example on design quality, system thinking, and pragmatic trade-offs.Own technical decisions for your squad. Escalate the right ones, decide the rest.Build reusable code and libraries for future use.Bring a strong perspective that inspires new ideas and motivates engineers to develop simple solutions to sophisticated problems.Foster strong cross-function collaboration with Frontend, Product, and Support to develop world-class products. You’ll be reviewing code and design docs, and giving feedback on product specs and mocks.Participate in the full development cycle: design, development, QA, experimentation, analysis, launch, and monitoring.Your Profile10+ years of software engineering experience, including production systems at scale.5+ years leading a team of engineers with direct people management (1:1s, feedback, growth plans ; not just tech lead coordination).Strong experience with Typescript / Node.js, Python, Go, or similar backend languages.Solid grasp of modern software engineering practices: version control (Git), CI/CD, code reviews, automated testing, monitoring, etc.Experience with cloud platforms (e.g., AWS, GCP, Azure), containerization (Docker), orchestration (Kubernetes), and infrastructure as code (Terraform).Strong understanding of relational and non-relational databases. Experience with PostgreSQL is a plus.Fluent in English (written and spoken), French is a plus.When faced with a tricky bug or an unfamiliar system, know how to unblock yourself, whether by digging deeper, asking teammates for help, or using tools like AI.Care deeply about users – you build with the user’s real needs in mind, advocating for simplicity and value in technical decisions.You think about systems and outcomes looking beyond individual tasks to understand system-wide impact on performance, scalability, and reliability.Stays current with new tools and practices.Experience in designing and implementing distributed systems that scale for millions of customers.Entrepreneurial spirit. You are self-directed, innovative, and biased towards action in fast-paced environments.The capacity to communicate and discuss complex topics with technical and non-technical audiences.Sound knowledge of standard software engineering methodology, e.g. unit testing, code reviews, design documentation, continuous integration, and delivery.",https://www.emploidakar.com/offre-demploi/djamo-dakar-senegal-cdi-technical-lead-backend/
Comptable Sénior,Helios Towers,"Dakar, Sénégal",CDI,2026-04-21,N/A,"We are a leading independent telecoms infrastructure company, with one of the most extensive tower portfolios across Africa and the Middle East. Our business model promotes tower infrastructure sharing and enables mobile network operators (MNOs) to deliver mobile connectivity more quickly, reliably, cost-effectively and with a lower carbon footprint. In turn, this supports the expansion and quality of mobile connectivity, driving sustainable development in our markets.A bit about the Team:Helios Towers is a growing organisation made up of diverse, multicultural talent from around the world, which is the pride of our business. Our mission, purpose and values underpin our drive to foster a culture that is inclusive with a focus on growing local talent, with employee representation from all ethnicities, genders, ages, religions and disabilities.Our Values:We are led by our values of Partnership, Integrity and Excellence coupled with a strong culture of sustainability; to ensure that communities and local people are supported in our markets of operation.Purpose of the JobThe Senior Accountant ensures:Accurate and timely financial reportingCompliance with IFRS and local statutory requirementsStrong internal controls and risk mitigationFinancial support to operational and commercial teamsReliable data for strategic decision-makingJob specificationsMaster’s degree in accounting & finance or related subjects and a professional qualification such as CIMA, ACCAExperience in an audit firm followed by experience in a corporate environmentThe ideal candidate should have 5 to 7 years of experience in accounting and financial reportingExperience in an international company or structured group with established reporting and internal control processes.Person SpecificationStrong understanding of monthly and annual closing processesPreparation and review of balance sheet reconciliationsManagement and monitoring of CAPEX projects, including reconciliation between OHADA and IFRS accounting treatmentsParticipation in the budget and forecast processesMonitoring and analysis of operational costs to identify potential optimization opportunitiesGood knowledge of IFRS standards and the OHADA accounting frameworkExperience in the preparation and support of external auditsStrongExcelskills and experience with SAPKey Performance IndicatorsOptimising business processes and projectsIntroduction of new initiativesEnhancing stakeholder engagementDemonstrating HT values",https://www.emploidakar.com/offre-demploi/helios-towers-dakar-senegal-cdi-comptable-senior/
Stagiaire en Restauration,Tostan,"Thiès, Sénégal",Stage,2026-04-21,N/A,"Une opportunité de grandir, d’apprendre et de contribuer à une mission qui change des vies. Tostan recherche un(e) Stagiaire en Restauration.ExigencesMaîtrise de la cuisine sénégalaise & européenne requise.Vous avez le profil ? Ne laissez pas passer cette chance :hr@tostan.orgDate limite : 04 Mai 2026",https://www.emploidakar.com/offre-demploi/tostan-thies-senegal-stage-stagiaire-en-restauration/
Chargé Suivi Régime Suspensif,Africa Global Logistics,"Dakar, Sénégal",CDI,2026-04-21,N/A,"MissionSuperviser, animer et coordonner le départementEncadrer, gérer, contrôler et faire appliquer les procédures définies sous la direction manager adjoint risques douanes.Responsabilités:Assurer le suivi des sommiers depuis leur création jusqu’à leur apurement (solde) totalS’assurer de la prise en compte de tous les sommiersS’assurer que tous les avis de prise en compte sont envoyésS’assurer que les demandes de prorogations sont faitesS’assurer du classement de tous les documents dans les sommiersEtablir les différents courriers en douaneEtablir un planning annuel de visite des entrepôts chez les clientsCommenter l’inventaire mensuel de nos entrepôts fictifsS’assurer que les rapports de visites sont faits et classésFaire le reporting tous les 15 jours de la situation des sommiersRespecter les procédures relatives aux activités réaliséesFaire la situation mensuelle pour tous les clients suspensifs y compris ceux des Mines et Oil & GasTraiter, suivre et facturer les transfert Diamniado de Dakar TerminalParticiper activement à la démarche qualité mise en placeEffectuer toutes les taches connexes",https://www.emploidakar.com/offre-demploi/fonds-dappui-aux-partenariats-public-prive-dakar-senegal-cdi-charge-suivi-regime-suspensif/
Chargé de Communication,UNICEF,"Dakar, Sénégal",CDD,2026-04-21,N/A,"To this end, UNICEF’s West and Central Africa Regional Office (WCARO) based in Dakar, Senegal, is looking for a Communication Officer (Digital) to support all communication and advocacy efforts.How can you make a difference?The Communication Officer (Digital) will be responsible for supporting UNICEF WCARO’s partnership, communication and advocacy efforts.Specifically, the Communication Officer (Digital) works under the guidance and supervision of the Regional Adviser Partnerships (Public), with support of other sections of the Regional Office to develop, coordinate and implement UNICEF WCARO’s digital communications, and lead the production of digital content such as social media cards, videos and others as needed.In addition, he/she assists in planning, implementing, monitoring and evaluating an advocacy and communication strategy to get children’s and women’s issues into the public domain, strengthen political will in support of UNICEF’s mission and objectives in the region, and enhance the organization’s credibility and brand.Within the delegated authority and the given organizational set-up, the incumbent may be accountable for all or assigned areas of the following major duties and end results.Developing and implementing community engagement strategies that align with UNICEF’s Regional Agenda for Children.Developing a visual identity for Children’s Rights in the region, in collaboration with Unicef WCA country offices and regional networks.Managing and growing UNICEF WCARO’s online community presence across various social media platforms, including focal point for WCARO Senior Management (e.g. Regional Director) social media accounts.Fostering a positive and inclusive online community environment, encouraging active participation and interaction.Monitoring and responding to followers’ inquiries, comments and feedback in a timely and professional manner.Collaborating with internal teams, including the front office, to ensure consistent messaging and alignment.Analyzing follower metrics and trends to identify opportunities for improvement and growth.Organizing and hosting virtual events or webinars to engage and connect with our audience.Creating, curating and managing content (including posts, videos, webinars, etc.) for online platforms, ensuring it is relevant, engaging and aligned with the UNICEF’s brand voice.Identifying and cultivating relationships with key followers and influencers to foster loyalty and advocacy.Staying updated on industry trends, best practices and emerging platforms to continually enhance community engagement strategies.To qualify as an advocate for every child you will have…Minimum requirements:Education: University degree in Communications (Bachelor), Journalism, Public Relations or a related field.Work Experience:A minimum of two years of professional experience managing social media accounts, particularly Facebook, YouTube, Instagram, Linkedin and XProfessional experience in community management or social media management is considered as a strong asset.Strong understanding of online community platforms, social media tools and analytics.Experience in graphic design: ability to create designs for digital media purposes in open-source graphic design programs.Proficiency in online tools such as Drupal, SharePoint, Hootsuite, and WeShare, amongst others.Proficiency in content production software such as Adobe Premiere Pro, InDesign, and Photoshop, Canva, or comparable software is an assetStrong grasp of the situation of children in the West and Central Africa region, and linkages to girl-centered groups across the region is considered an asset.Skills:Excellent communication, writing and interpersonal skills, with the ability to engage and build relationships with diverse audiences.Excellent drafting skills as well as oral presentation skills.Creative and strategic thinker with the ability to develop and execute innovative community engagement initiatives.High level of empathy, patience and professionalism in handling community interactions.Ability to express clearly and concisely ideas and concepts in written and oral form.Ability to work independently as well as with a team in an international, multicultural and interdisciplinary environment and establish harmonious and effective working relationships both within and outside the organization.Language Requirements:Fluency in French with an excellent working knowledge of English required.Knowledge of another official UN language (Arabic, Chinese, Russian or Spanish) is an asset.Closing date: 03 May 2026",https://www.emploidakar.com/offre-demploi/unicef-dakar-senegal-cdd-charge-de-communication/
Agent Cotation,Africa Global Logistics,"Dakar, Sénégal",CDI,2026-04-21,N/A,"L’Agent de Cotation est chargé d’effectuer la cotation (suivi de la tarification des différents produits et émission de devis…) des opérations aériennes, du shipping, logistiques et de la manutention, selon les barèmes et conformément aux instructions du Responsable Cotation.Il a également pour obligation de participer activement à la démarche Qualité, Hygiène, Sécurité et Environnement (QHSE) du Groupe, et de se conformer aux règles et procédures en vigueur dans l’exécution des tâches, notamment une application stricte des dispositions du code de bonne conduite. Ledit code étant transmis à chaque salarié.ResponsabilitésRecevoir les demandes de cotation ; accuser réception et les enregistrer ;Recueillir auprès du demandeur toute information nécessaire à la bonne compréhension de la demande ;Obtenir des services opérationnels, les éléments nécessaires à la constitution de l’offreSaisir dans le logiciel de cotation les éléments permettant de déterminer les coûts et les prix de vente ;Transmettre aux demandeurs les offres dans les délais retenus suivant la complexité de la demande, en y annexant au besoin, tous documents complémentaires (prestation commerciale-procédure-liste d’équipement …) ;Effectuer des relances pour connaitre la décision du demandeur et identifier le cas échéant, les raisons du refus de l’offre ;Participer à la mise en place et à la diffusion des statistiques concernant : le nombre de cotations établies-le nombre de cotations acceptées/refusées-le taux de transformation ;Contribuer à l’établissement de plans d’actions ;Effectuer toute tâche connexe à la demande du supérieur hiérarchique.ProfilÊtre titulaire d’un diplôme de niveau Bac+3 (BTS, DUT, …) ou validation des acquis en comptabilité /gestion, commerce ou équivalent ;Avoir la maîtrise de l’outil informatique (bureautique, Echange de Données Informatiques – Excel-Powerpoint, internet, messagerie, …) ;Avoir la maitrise d’une ou plusieurs langues étrangères, en particulier l’anglais.",https://www.emploidakar.com/offre-demploi/fonds-dappui-aux-partenariats-public-prive-dakar-senegal-cdi-agent-cotation/
Expert Juriste,Fonds d'Appui aux Partenariats Public-privé,"Dakar, Sénégal",CDD,2026-04-21,N/A,"L’objectif général de ce recrutement est de renforcer les capacités techniques, stratégiques et opérationnelles du FAPPP afin d’améliorer la qualité de préparation, de structuration, de sécurisation et de financement des projets de Partenariats Public-Privé (PPP).L’Expert Juriste assurera la sécurisation des cadres contractuels, la conformité réglementaire et la gestion des risques juridiques liés aux PPP.",https://www.emploidakar.com/offre-demploi/fonds-dappui-aux-partenariats-public-prive-dakar-senegal-cdd-expert-juriste/
Expert en Mobilisation de Ressources,Fonds d'Appui aux Partenariats Public-privé,"Dakar, Sénégal",CDD,2026-04-21,N/A,"L’objectif général de ce recrutement est de renforcer les capacités techniques, stratégiques et opérationnelles du FAPPP afin d’améliorer la qualité de préparation, de structuration, de sécurisation et de financement des projets de Partenariats Public-Privé (PPP).L’Expert en Mobilisation de Ressources appuiera la mobilisation de fonds auprès des bailleurs, investisseurs et partenaires, et développera des stratégies de financement innovantes.",https://www.emploidakar.com/offre-demploi/fonds-dappui-aux-partenariats-public-prive-dakar-senegal-cdd-expert-en-mobilisation-de-ressources/
Expert Financier,Fonds d'Appui aux Partenariats Public-privé,"Dakar, Sénégal",CDD,2026-04-21,N/A,"L’objectif général de ce recrutement est de renforcer les capacités techniques, stratégiques et opérationnelles du FAPPP afin d’améliorer la qualité de préparation, de structuration, de sécurisation et de financement des projets de Partenariats Public-Privé (PPP).L’Expert Financier contribuera à l’analyse économique et financière des projets, à la modélisation, à l’évaluation des risques et à la structuration des schémas de financement.",https://www.emploidakar.com/offre-demploi/fonds-dappui-aux-partenariats-public-prive-dakar-senegal-cdd-expert-financier/
Assistant Administratif et Ressources Humaines,Top Work,"Dakar, Sénégal",CDD,2026-04-21,N/A,"Pour le compte de l’un de nos clients, acteur majeur du secteur de la pêche et des produits halieutiques au Sénégal, nous recrutons un Assistant Administratif et Ressources Humaines.Secteur : Pêches et produits halieutiquesResponsabilitésOrganisation, suivi des recrutements et intégration des salariés.Rédaction et établissement des contrats de travail, et documents administratifs.Assurer le suivi du tableau de bord des présences.Suivi des pointages.Suivi des dossiers du personnel et des déclarations auprès des organismes sociaux.Assurer la communication interne.Profil recherchéBac+3 minimum en Gestion des ressources humaines ou droit social2 à 3 ans minimum d’expérience sur un poste similaireMaîtrise des outils de bureautique, des logiciels de paie (SAGE ou Cegid) et des logiciels de gestion des ressources humaines (GRH)Maîtrise parfaite de l’outil SIRH (Système d’Information Ressources Humaines)Bonne connaissance des différents métiers de l’entreprise et bonnes capacités rédactionnellesRigueur et organisationÉthique, discrétion et adaptabilitéPour postuler, merci d’envoyer votre CV à :cv@topwork.snen précisant en objet l’intitulé du poste.",https://www.emploidakar.com/offre-demploi/top-work-dakar-senegal-cdd-cdi-assistant-administratif-et-ressources-humaines/
Assistant Administratif,Fonds d'Appui aux Partenariats Public-privé,"Dakar, Sénégal",CDD,2026-04-21,N/A,"L’objectif général de ce recrutement est de renforcer les capacités techniques, stratégiques et opérationnelles du FAPPP afin d’améliorer la qualité de préparation, de structuration, de sécurisation et de financement des projets de Partenariats Public-Privé (PPP).L’Assistant(e) Administratif (ive) renforcera l’efficacité organisationnelle, la coordination administrative et le suivi des activités stratégiques.",https://www.emploidakar.com/offre-demploi/fonds-dappui-aux-partenariats-public-prive-dakar-senegal-cdd-assistant-administratif/
Community Manager,NETSYSTEME Informatique,Cité keur Gorgui en face route BRT,CDD,2026-04-21,N/A,"Entreprise : NetsystemeLieu : Dakar, Sénégal (ou télétravail selon profil)Type de contrat : À définir (CDD / CDI / Freelance)Dans le cadre du développement de ses activités digitales, Netsysteme lance un appel d’offre pour le recrutement d’un Community Manager expérimenté, capable de gérer et développer sa présence en ligne, renforcer son image de marque et générer de l’engagement.Profil recherchéMinimum 2 ans d’expérience en tant que Community ManagerExcellente maîtrise des réseaux sociaux et outils de gestion (Meta Business Suite, Hootsuite, etc.)Compétences en création de contenu (Canva, Photoshop, CapCut, etc.)Bonne capacité rédactionnelle (français obligatoire, anglais est un plus)Esprit créatif, autonome et orienté résultatsExpérience en marketing digital fortement appréciéeLivrables attenduesCalendrier éditorial mensuelRapports de performance (hebdomadaire ou mensuel)Contenus visuels et textes adaptés à la marqueStratégies d’amélioration de la visibilitéCandidatureLes candidats intéressés doivent soumettre leur CV détaillé.Seuls les candidats présélectionnés seront contactés pour un entretien.",https://www.emploidakar.com/offre-demploi/netsysteme-informatique-cite-keur-gorgui-en-face-route-brt-stage-community-manager/
Opérateur téléphonique en prise de RDV,Winassur,"Keur Massar, Dakar",CDI,2026-04-21,N/A,Recrutement massif –  Vous avez une excellente maîtrise de la langue française ? Vous êtes dynamique et rigoureux ? Rejoignez-nous !Poste : Téléopérateur (Prise de RDV)Profil : Avec ou sans expérienceSalaire : 60 000 FCFA – 75 000 FCFALieu : DakarPour postuler : Envoyez votre CV par Whatsapp +33745896357 ou +221778497499,https://www.emploidakar.com/offre-demploi/winassur-rond-point-gouy-gui-keur-massar-dakar-senegal-cdi-operateur-telephonique-en-prise-de-rdv/
Professeur Lettres Modernes,Lycée Jean Mermoz,"Dakar, Sénégal",CDD,2026-04-21,N/A,"Nombre de postes : 1 poste vacant et 1 susceptible d’être vacantMissionsVotre mission sera de développer les connaissances et compétences des élèves, ainsi que leur esprit critique. Vous les accompagnez dans la découverte professionnelle et les préparez à leurs choix d’orientation tout en leur donnant les outils pour apprendre à réfléchir, à comprendre le monde dans lequel ils vivent ainsi qu’à développer leurs capacités à exprimer des idées et développer des concepts.Vous contribuez à la construction du parcours éducatif et scolaire des élèves, à la transmission des connaissances et à la construction des apprentissages. Vous assurez un service qui comprend un temps d’enseignement, un temps de préparation des cours, un temps de correction de copies et d’évaluation des élèves, un temps de dialogue avec les parents pour le suivi des élèves, un temps de participation à la vie de l’établissement (conseil de classe, conseil d’enseignement, conseil pédagogique…) et de concertation en équipe.Profil recherchéNous recherchons un enseignant dynamique et engagé, prêt à relever les défis de l’éducation. Vous devez être passionné par votre discipline et par la transmission des savoirs, avec un fort engagement envers les valeurs du réseau d’enseignement français à l’étranger. Un diplôme dans la matière enseignée est indispensable.Une expérience professionnelle d’enseignement en établissement scolaire de minimum 2 ans est souhaitée. Une expérience d’enseignement en établissement français et une connaissance du système éducatif français, seront valorisées. Des compétences dans l’utilisation des outils numériques au service de la pédagogie sont attendues.Ce poste est offert dans le cadre d’un contrat de droit local.",https://www.emploidakar.com/offre-demploi/lycee-jean-mermoz-dakar-senegal-cdd-cdi-professeur-lettres-modernes/
Professeur d’anglais,Lycée Jean Mermoz,"Dakar, Sénégal",CDD,2026-04-21,N/A,"Nombre de postes : 2 postes vacants.Missions :En tant que professeur(e) d’anglais à l’école élémentaire, vous serez chargé(e) de fournir en coopération avec l’enseignant(e) de la classe un enseignement en anglais dans les disciplines concernées conformément aux programmes. Vous permettrez aux élèves de s’approprier les savoirs au programme de l’enseignement français.Vous éveillerez chez eux l’intérêt pour le monde qui les entoure et veillerez à leur attitude de respect de l’autre. Vous créerez un rapport positif à la classe et aux apprentissages et participerez à la construction d’un parcours éducatif et scolaire cohérent et continu pour tous les élèves dans leur diversité, en lien avec leurs représentants légaux et la communauté éducative.Profil recherchéNous recherchons des candidat(e)s désireux(ses) de contribuer à l’éducation de jeunes élèves en les accompagnant dans leur parcours scolaire et ayant une forte capacité d’écoute et de communication. Les candidat(e)s devront avoir une maîtrise parfaite de la langue française. La capacité à enseigner également en langue anglaise sera très appréciée.Une expérience professionnelle d’enseignement en établissement scolaire de minimum 2 ans est souhaitée. Une expérience d’enseignement en établissement français et une connaissance du système éducatif français, seront valorisées.",https://www.emploidakar.com/offre-demploi/lycee-jean-mermoz-dakar-senegal-cdd-cdi-professeur-danglais/
